goodreads_book_id,tag_id,count
50,8717,2212
50,33114,2121
50,11743,1587
50,1691,934
50,11557,890
50,30574,790
50,7457,735
50,32989,691
50,29045,642
50,6953,610
50,25438,524
50,26735,472
50,6828,451
50,6857,358
50,19974,339
50,6888,326
50,6895,289
50,5207,281
50,17124,280
50,25114,253
50,22743,231
50,27199,199
50,6838,184
50,21457,183
50,7404,165
50,12315,160
50,26740,160
50,16799,156
50,6960,154
50,19983,145
50,17129,143
50,29452,142
50,6829,136
50,7852,131
50,14046,128
50,33165,123
50,6914,111
50,22034,108
50,6920,108
50,33012,105
50,16805,102
50,21466,102
50,25191,100
50,1542,97
50,22753,91
50,6847,91
50,33023,85
50,32477,84
50,3389,82
50,6178,82
50,12850,82
50,18045,81
50,6597,81
50,33124,79
50,25034,78
50,3371,76
50,8055,76
50,6976,67
50,7484,67
50,9221,66
50,26754,66
50,25436,63
50,24960,57
50,20774,57
50,5090,57
50,12948,57
50,21195,57
50,8075,56
50,21447,55
50,1200,49
50,1173,49
50,21989,48
50,3392,46
50,32996,46
50,20785,45
50,10404,45
50,6909,44
50,1540,44
50,30573,43
50,25014,42
50,10397,42
50,17090,42
50,3677,42
50,20849,41
50,17086,41
50,27535,40
50,30521,40
50,6977,40
50,6973,40
50,26752,40
50,25761,40
50,15169,39
50,33116,39
50,5481,39
50,5583,39
50,33125,38
50,8067,38
50,19980,38
50,31359,37
50,9621,37
93,30574,27829
93,7457,2886
93,6953,911
93,11743,858
93,8717,819
93,6857,754
93,11557,676
93,7404,573
93,6888,508
93,6895,404
93,6828,386
93,5207,358
93,33114,325
93,22743,323
93,17124,246
93,14487,233
93,6960,204
93,6838,185
93,11590,149
93,22753,121
93,6829,110
93,32989,109
93,17129,106
93,6920,97
93,14467,96
93,19974,95
93,17213,93
93,6914,92
93,16799,89
93,6847,83
93,29141,82
93,6905,75
93,9221,73
93,509,72
93,33165,71
93,6840,70
93,6977,63
93,7423,59
93,15169,57
93,20849,55
93,18367,54
93,6969,53
93,13098,53
93,6976,52
93,22034,49
93,11221,48
93,25034,48
93,6866,47
93,6909,46
93,25033,45
93,20774,44
93,22689,44
93,16805,44
93,1691,43
93,21989,43
93,10932,43
93,6949,41
93,6948,40
93,6843,38
93,18045,36
93,3389,34
93,25020,34
93,6973,34
93,3371,32
93,25014,32
93,25438,32
93,17090,31
93,24960,30
93,29137,29
93,3392,28
93,14764,28
93,20785,28
93,33150,28
93,5161,28
93,25234,27
93,30521,27
93,12600,27
93,7478,27
93,30573,26
93,10197,26
93,26735,26
93,11643,26
93,27199,24
93,7852,24
93,6837,24
93,4021,24
93,6834,22
93,27535,21
93,11497,20
93,10210,20
93,6597,20
93,12296,20
93,11644,20
93,32586,19
93,13116,19
93,22344,19
93,6871,19
93,3379,18
93,4949,18
93,30635,18
378,30574,55030
378,11557,3461
378,11305,2880
378,8717,1929
378,11743,1777
378,6953,1441
378,7457,1334
378,33114,999
378,6857,835
378,6888,747
378,6895,542
378,17124,541
378,6828,512
378,32989,437
378,5207,401
378,22743,392
378,19974,386
378,7404,325
378,1691,315
378,6960,301
378,15048,295
378,6838,284
378,17129,249
378,16799,214
378,6914,180
378,26735,160
378,6920,149
378,24960,142
378,11590,138
378,33165,138
378,2104,134
378,16805,124
378,6976,114
378,18045,113
378,22034,107
378,4949,107
378,6829,105
378,6977,104
378,11505,103
378,25014,101
378,17090,97
378,18367,94
378,22753,92
378,26785,91
378,30521,85
378,12680,83
378,25114,81
378,9221,76
378,25765,75
378,30573,75
378,17213,72
378,19983,70
378,30860,69
378,6847,67
378,20849,66
378,6949,65
378,11497,63
378,6909,63
378,11370,61
378,6597,61
378,6948,61
378,22689,60
378,25034,60
378,6973,60
378,33012,59
378,27535,59
378,17086,54
378,20774,53
378,12315,53
378,26740,53
378,26837,52
378,15169,50
378,6836,50
378,206,49
378,32586,48
378,21892,48
378,12323,48
378,3371,46
378,25020,46
378,30590,46
378,17591,45
378,20824,43
378,33150,43
378,6866,42
378,20785,42
378,19445,42
378,25011,41
378,2277,41
378,6969,41
378,15285,41
378,15067,41
378,18886,40
378,25234,40
378,26897,40
378,26771,40
378,33124,39
378,10197,39
378,25033,39
378,12296,39
378,7725,39
902,30574,53759
902,20939,2666
902,11557,1974
902,8717,1545
902,33114,1416
902,11743,1173
902,32989,645
902,6953,595
902,7457,427
902,19974,419
902,21457,370
902,6888,341
902,6857,318
902,5207,291
902,17124,254
902,6828,240
902,6895,239
902,22743,233
902,26735,219
902,20926,201
902,16799,167
902,6838,156
902,25438,139
902,24960,134
902,20994,128
902,4949,124
902,7404,123
902,16805,118
902,21470,117
902,18045,113
902,17129,112
902,6960,104
902,25114,103
902,19983,103
902,2104,98
902,6914,96
902,12315,86
902,21459,86
902,21474,83
902,26740,82
902,17213,81
902,33165,79
902,33012,78
902,6920,78
902,20989,75
902,29076,72
902,25765,69
902,6976,68
902,30521,67
902,21447,66
902,33023,65
902,9221,64
902,17090,60
902,22034,59
902,33124,58
902,29452,57
902,30573,57
902,22753,55
902,3389,55
902,11505,55
902,19980,53
902,11497,51
902,7484,51
902,30860,51
902,20849,50
902,1691,48
902,8055,48
902,30358,48
902,20948,48
902,11590,47
902,6829,47
902,6909,47
902,3371,46
902,10197,46
902,3676,45
902,15169,44
902,6597,44
902,25150,43
902,21472,43
902,15048,42
902,6977,40
902,3392,38
902,6949,38
902,31359,38
902,20774,36
902,22689,36
902,20957,36
902,17086,36
902,20656,36
902,3677,36
902,20824,35
902,21989,34
902,25151,34
902,6847,34
902,21473,34
902,11305,33
902,25014,33
902,1173,33
902,21464,33
902,28525,32
903,30574,8440
903,11743,280
903,33114,261
903,6953,253
903,8717,247
903,11557,183
903,20939,182
903,6888,167
903,6857,154
903,6828,134
903,32989,126
903,19974,126
903,17124,102
903,6895,97
903,11305,92
903,6838,87
903,21457,81
903,10342,75
903,25438,70
903,22743,64
903,21466,61
903,16799,60
903,5207,58
903,17129,53
903,1691,51
903,6960,46
903,6920,44
903,6914,43
903,9221,38
903,27199,37
903,26735,37
903,16805,34
903,7457,32
903,6829,32
903,14487,32
903,22034,29
903,26740,28
903,18045,27
903,12600,26
903,19983,26
903,17090,22
903,25034,21
903,25114,21
903,21024,21
903,1173,21
903,21447,21
903,6597,20
903,33012,19
903,33165,19
903,17086,19
903,21892,19
903,7484,19
903,15304,19
903,6976,18
903,19980,18
903,22753,17
903,6847,17
903,3677,17
903,20926,16
903,20849,15
903,29452,15
903,12315,15
903,6836,15
903,19867,15
903,21464,15
903,24960,14
903,5161,14
903,2427,14
903,25765,13
903,6909,13
903,6977,13
903,25033,13
903,20785,13
903,6948,13
903,33150,13
903,33124,12
903,7404,12
903,10397,12
903,25436,12
903,3371,11
903,17213,11
903,30573,11
903,8055,11
903,4949,11
903,5158,11
903,21452,11
903,8067,10
903,12614,10
903,33113,10
903,3676,10
