user_id,book_id
506,241
504,219
564,36
756,621
589,1977
793,1968
1074,577
1007,958
791,77
791,5500
791,594
791,184
934,793
1286,36
804,229
1582,282
1582,6813
1666,1279
1488,8153
1723,561
1723,9308
1297,4053
627,223
2051,4419
318,877
318,1061
2080,627
2267,36
2502,219
2476,219
2337,36
2337,1163
2337,873
2337,50
2322,219
2292,347
2292,641
2292,292
2292,602
2292,542
2713,321
2955,3739
1876,4351
1876,6972
1876,1020
1876,6813
2820,219
759,133
3035,36
3087,2415
1274,6813
3035,627
3175,219
3190,793
3321,50
2709,2733
3363,117
3363,561
918,561
3470,1163
3536,85
3536,339
3499,798
3296,386
2517,2409
2517,561
3695,245
3351,93
3705,36
3126,59
3747,219
3628,641
3628,602
3628,292
3628,347
3628,332
4072,416
151,793
3193,50
457,36
457,85
2517,1639
634,1038
4341,241
4384,621
4409,245
4072,229
4072,518
3207,2311
3391,36
4196,3084
1579,1695
4373,3316
1257,50
1257,36
4294,444
4294,826
4294,229
4294,7045
4294,1258
4294,4832
4294,3836
4294,77
4567,36
4693,388
4693,1020
4659,50
4647,8373
4787,2733
4076,808
4553,1968
4553,1975
4553,1977
3332,857
1075,282
4969,544
4982,50
2294,392
4999,1695
3566,292
3566,602
3566,641
4505,1279
4141,3639
29,36
29,1695
4213,2821
5134,826
4798,117
5169,681
4787,117
4824,2064
4555,219
5290,1402
5035,50
4278,1059
5310,1043
3340,9198
5351,36
3697,50
694,36
4663,786
5120,9308
2517,1968
4950,36
3928,857
3847,877
3692,7345
3692,3316
2990,37
2990,2215
2990,621
2990,4042
2990,1373
2990,7833
2990,386
2990,1061
2990,373
2990,241
2990,59
2990,117
2990,416
2990,184
3617,826
2294,2064
2294,77
1690,85
3636,738
4965,3769
5698,1061
1650,133
1650,1210
1650,1112
4529,8373
2613,602
2613,641
2613,37
5739,1293
5743,497
5743,1695
5743,321
5743,2475
5743,241
2227,93
2878,50
4438,5020
5706,877
1690,292
1690,332
1690,542
1690,602
1690,641
5786,37
4371,93
5805,245
5831,36
5847,85
5689,347
5689,542
5860,85
5871,50
4438,1695
3986,4094
4072,158
5912,3769
5973,999
5973,5303
5938,388
5992,1530
5992,3739
6029,8262
5468,37
5468,347
5468,93
6046,117
6055,245
4072,877
5639,2985
5791,282
1591,2472
5698,4649
5698,1032
5310,2472
1649,2472
668,4208
189,2821
1154,85
6165,9200
6174,873
6174,1033
6174,1163
6174,1975
3422,117
3931,1293
1638,36
4154,3774
6218,292
6218,602
6218,641
